id,dadid,momid,sex,seq
889341,877954,877955,3,0
889342,877954,877955,3,0
889343,877954,877955,3,0
889344,877938_1,877938,3,0
889345,877931,887234,3,0
889346,877927,886258,3,0
889347,877931,887234,3,0
889348,889193,877920,3,0
889349,877931,887234,3,0
889350,877761,877919,3,0
889351,889193,877920,3,0
889352,889193,877920,1,0
889353,889045,871627,3,0
889354,889017,889035,3,0
889355,889045,871627,3,0
889356,889045,871627,3,0
889357,889045,871627,3,0
889358,889017,889035,3,0
889359,889193,877920,1,0
889360,877761,877919,3,0
889361,889193,877920,3,0
889362,877761,877919,3,0
889363,877931,887234,3,0
889364,877931,887234,3,0
889365,877927,886258,3,0
889366,877927,886258,3,0
889367,877927,886258,3,0
889368,866268,887558,3,0
889369,866268,887558,3,0
889370,889010,877883,3,0
889371,866268,887558,3,0
889372,866268,887558,3,0
889373,889010,877883,3,0
889374,877459,889273,3,0
889375,889280,877560,3,0
889376,889280,877560,3,0
889377,889252,889253,1,0
889378,877811,877945,1,1
889379,877811,877945,1,0
889380,877954,877955,3,0
889381,877938_1,877938,3,0
889382,877938_1,877938,3,0
889383,877954,877955,3,0
889384,877938_1,877938,3,0
889385,877938_1,877938,3,0
889386,877938_1,877938,3,0
889387,889200,889251,3,0
889388,889200,889251,2,0
889389,889393,889063,3,0
889390,889393,889063,3,0
889391,889393,889063,3,0
889392,889393,889063,3,0
889394,877459,889273,3,0
889395,877459,889273,3,0
889396,889280,877560,3,0
889397,889280,877560,1,1
889398,877859,889270,1,0
889399,877859,889270,3,0
889400,889282,880843,1,1
889401,889282,880843,3,0
889402,877973,877933,3,0
889403,877973,877933,3,0
889404,877973,877933,3,0
889405,877004,889016,3,0
889406,877973,877933,3,0
889407,877004,889016,3,0
889408,889010,877883,3,0
889409,889010,877883,3,0
889410,866268,887558,3,0
889411,889010,877883,3,0
889412,866268,887558,1,0
889413,877859,889270,3,0
889414,889282,880843,3,0
889415,889282,880843,3,0
889416,889282,880843,3,0
889417,877859,889270,3,0
889418,889282,880843,3,0
889419,889282,880843,3,0
889420,889045,871627,3,0
889421,889017,889035,3,0
889422,889017,889035,3,0
889423,889045,871627,3,0
889424,889017,889035,3,0
889425,889190,883089,3,0
889426,889190,883089,3,0
889427,877004,889016,3,0
889428,877973,877933,3,0
889429,877004,889016,3,0
889430,877973,877933,3,0
889431,877988,890305,3,0
889433,889393,889063,3,0
889434,889200,889251,3,0
889435,889393,889063,3,0
889436,889200,889251,3,0
889437,889200,889251,3,0
889438,877916,889271,3,0
889439,889095,889313,3,0
889440,889095,889313,3,0
889441,889095,889313,3,0
889442,889095,889313,3,0
889443,877988,890305,3,0
889444,889432,877111,3,0
889445,889432,877111,3,0
889446,877988,890305,3,0
889447,877988,890305,3,0
889448,889012,889281,3,0
889449,889012,889281,2,0
889450,881671,862783,3,0
889451,881671,862783,3,0
889452,889012,889281,3,0
889453,889012,889281,3,0
889454,889012,889281,3,0
889455,881671,862783,3,0
889456,889012,889281,3,0
889457,889254_1,889254,3,0
889458,889254_1,889254,3,0
889459,877811,877945,3,0
889460,877811,877945,3,0
