id,dadid,momid,sex,seq
M043044,M040628,M040627,2,1
M040918,M038472,M037594,2,1
M040919,M038472,M037594,1,1
M040920,M038472,M037594,2,1
M047566,M040628,M040627,1,1
M047567,M040628,M040627,1,1
M047568,M040628,M040627,1,1
M047588,M040628,M040627,1,1
860169,858954,859947,1,0
865825,863658,860177,1,0
877821,873932,881104,1,0
889377,889252,889253,1,0
889574,877861,877923,1,0
M022131,M022174,M022680,1,0
M032356,M026835,M032221,1,0
M032479,M033603,M032124,1,0
860177,858839_1,858839,2,0
877111,865490,875633,2,0
877883,861503_1,861503,2,0
889296,861530,881115,2,0
889388,889200,889251,2,0
M005463,M005186,M001373,2,0
M011725,M011060,M011620,2,0
M022183,M020507,M022152,2,0
M022858,M026901_1,M026901,2,0
M032226,M026399,M022647,2,0
M032393,M028883,M022875,2,0
M032109,M032218,M026986,2,0
M038149,M037564,M042178,2,0
864453,NA,NA,1,0
866268,NA,NA,1,0
877392,NA,NA,1,0
881671,NA,NA,1,0
877798,NA,NA,1,0
871388,NA,NA,1,0
889432,NA,NA,1,0
889280,NA,NA,1,0
889282,NA,NA,1,0
886872,NA,NA,1,0
898052,NA,NA,1,0
890820,NA,NA,1,0
877915,NA,NA,1,0
898915_1,NA,NA,1,0
898313,NA,NA,1,0
898922,NA,NA,1,0
M005236,NA,NA,1,0
M005428,NA,NA,1,0
unknwn2,NA,NA,1,0
M022758,NA,NA,1,0
M022563,NA,NA,1,0
M001377,NA,NA,1,0
887328,NA,NA,1,0
M001920,NA,NA,1,0
M011856,NA,NA,1,0
M011625,NA,NA,1,0
M011878,NA,NA,1,0
M000373,NA,NA,1,0
M011234,NA,NA,1,0
M011635,NA,NA,1,0
M005975,NA,NA,1,0
M005093,NA,NA,1,0
M026285,NA,NA,1,0
M022580,NA,NA,1,0
M020507,NA,NA,1,0
unknwn4,NA,NA,1,0
M012646,NA,NA,1,0
M022667,NA,NA,1,0
M020867,NA,NA,1,0
unknwn5,NA,NA,1,0
