LibName MeanCov CovSC13 Ratio Sex
889135_S182 2.5925 2.07268891364031 0.799494277199735 1
889168_S54 1.5336 0.773666234951189 0.504477200672398 2
889169_S55 1.9846 1.05939358120653 0.533807105314184 2
889170_S56 1.8573 0.948427687971453 0.510648623254969 2
889171_S57 2.2081 1.92091725680397 0.869941242155687 1
889175_S58 2.1716 1.99373754222924 0.918096123701069 1
889176_S59 1.3421 0.684673296532716 0.51015073134097 2
889179_S60 2.1434 1.13923404639042 0.531507906312595 2
889184_S17 2.3815 2.21186470680002 0.928769559857243 1
889190_S61 1.8939 1.61983491177748 0.855290623463477 1
889193_S62 1.9191 1.70597596039665 0.888945839402141 1
889197_S9 1.8778 0.972384037320726 0.517831524827312 2
889198_S512 2.0522 1.79723383356649 0.87575959144649 1
