New_name,Library_name,Population,Position_in_cluster,Sex,Coverage,Project,Paper_Description,NCBI_number,Comments
M040592,M040592_S517,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M040592_S517_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
898871,898871_S109,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/898871_S109_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M008102,M008102_S37,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M008102_S37_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M038249,M038249_S285,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038249_S285_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M031578,M031578_S557,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M031578_S557_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M038230,M038230_S287,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038230_S287_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M040081,M040081_S494,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M040081_S494_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M031691,M031691_S799,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M031691_S799_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
889582,889582_S263,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/889582_S263_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M040667,M040667_S831,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M040667_S831_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M043635,M043635_S423,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M043635_S423_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
889198,889198_S512,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/889198_S512_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M040694,M040694_S498,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M040694_S498_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M032005,M032005_S845,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M032005_S845_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M026786,M026786_S955,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M026786_S955_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M038269,M038269_S376,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038269_S376_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
